,id,cuisine,name,title,amount,indented,percentOfDailyNeeds
0,580502,Caribbean,Caribbean Easter Egg Dye,Calories,556k,False,27.84
1,580502,Caribbean,Caribbean Easter Egg Dye,Fat,29g,False,44.62
2,580502,Caribbean,Caribbean Easter Egg Dye,Saturated Fat,4g,True,25.37
3,580502,Caribbean,Caribbean Easter Egg Dye,Carbohydrates,65g,False,21.68
4,580502,Caribbean,Caribbean Easter Egg Dye,Sugar,5g,True,5.98
5,580502,Caribbean,Caribbean Easter Egg Dye,Cholesterol,0.0mg,False,0.0
6,580502,Caribbean,Caribbean Easter Egg Dye,Sodium,649mg,False,28.25
0,1175851,Caribbean,Caribbean Rum Punch Cocktail,Calories,304k,False,15.23
1,1175851,Caribbean,Caribbean Rum Punch Cocktail,Fat,8g,False,13.78
2,1175851,Caribbean,Caribbean Rum Punch Cocktail,Saturated Fat,1g,True,9.74
3,1175851,Caribbean,Caribbean Rum Punch Cocktail,Carbohydrates,26g,False,8.82
4,1175851,Caribbean,Caribbean Rum Punch Cocktail,Sugar,0.42g,True,0.46
5,1175851,Caribbean,Caribbean Rum Punch Cocktail,Cholesterol,113mg,False,37.8
6,1175851,Caribbean,Caribbean Rum Punch Cocktail,Sodium,136mg,False,5.92
0,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Calories,388k,False,19.43
1,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Fat,19g,False,29.27
2,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Saturated Fat,4g,True,31.19
3,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Carbohydrates,14g,False,4.76
4,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Sugar,6g,True,7.61
5,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Cholesterol,102mg,False,34.02
6,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Sodium,532mg,False,23.17
0,274003,Caribbean,Peppermint-Mocha Delight,Calories,304k,False,15.23
1,274003,Caribbean,Peppermint-Mocha Delight,Fat,5g,False,8.5
2,274003,Caribbean,Peppermint-Mocha Delight,Saturated Fat,1g,True,6.31
3,274003,Caribbean,Peppermint-Mocha Delight,Carbohydrates,37g,False,12.35
4,274003,Caribbean,Peppermint-Mocha Delight,Sugar,8g,True,9.76
5,274003,Caribbean,Peppermint-Mocha Delight,Cholesterol,51mg,False,17.32
6,274003,Caribbean,Peppermint-Mocha Delight,Sodium,735mg,False,31.96
0,709884,Caribbean,Caribbean Truffle Pie,Calories,414k,False,20.7
1,709884,Caribbean,Caribbean Truffle Pie,Fat,18g,False,28.08
2,709884,Caribbean,Caribbean Truffle Pie,Saturated Fat,7g,True,49.48
3,709884,Caribbean,Caribbean Truffle Pie,Carbohydrates,36g,False,12.32
4,709884,Caribbean,Caribbean Truffle Pie,Sugar,13g,True,14.69
5,709884,Caribbean,Caribbean Truffle Pie,Cholesterol,65mg,False,21.92
6,709884,Caribbean,Caribbean Truffle Pie,Sodium,663mg,False,28.83
0,147099,Caribbean,Caribbean Jerk Sauce,Calories,352k,False,17.64
1,147099,Caribbean,Caribbean Jerk Sauce,Fat,15g,False,24.54
2,147099,Caribbean,Caribbean Jerk Sauce,Saturated Fat,4g,True,25.8
3,147099,Caribbean,Caribbean Jerk Sauce,Carbohydrates,13g,False,4.38
4,147099,Caribbean,Caribbean Jerk Sauce,Sugar,6g,True,6.83
5,147099,Caribbean,Caribbean Jerk Sauce,Cholesterol,102mg,False,34.02
6,147099,Caribbean,Caribbean Jerk Sauce,Sodium,523mg,False,22.75
0,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Calories,1071k,False,53.58
1,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Fat,54g,False,84.55
2,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Saturated Fat,13g,True,81.88
3,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Carbohydrates,96g,False,32.33
4,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Sugar,19g,True,22.02
5,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Cholesterol,107mg,False,35.88
6,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Sodium,5565mg,False,241.99
0,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Calories,371k,False,18.6
1,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Fat,6g,False,10.75
2,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Saturated Fat,1g,True,10.98
3,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Carbohydrates,36g,False,12.02
4,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Sugar,24g,True,26.83
5,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Cholesterol,145mg,False,48.43
6,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Sodium,571mg,False,24.85
7,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Alcohol,4g,False,24.74
0,137336,Caribbean,Jerk Chicken Wings With Creamy Dipping Sauce,Calories,525k,False,26.3
1,137336,Caribbean,Jerk Chicken Wings With Creamy Dipping Sauce,Fat,32g,False,50.32
2,137336,Caribbean,Jerk Chicken Wings With Creamy Dipping Sauce,Saturated Fat,8g,True,52.12
3,137336,Caribbean,Jerk Chicken Wings With Creamy Dipping Sauce,Carbohydrates,21g,False,7.2
4,137336,Caribbean,Jerk Chicken Wings With Creamy Dipping Sauce,Sugar,15g,True,17.11
5,137336,Caribbean,Jerk Chicken Wings With Creamy Dipping Sauce,Cholesterol,161mg,False,53.87
6,137336,Caribbean,Jerk Chicken Wings With Creamy Dipping Sauce,Sodium,753mg,False,32.77
0,85314,Caribbean,Ed's Caribbean Fish Sauce,Calories,341k,False,17.1
1,85314,Caribbean,Ed's Caribbean Fish Sauce,Fat,5g,False,8.68
2,85314,Caribbean,Ed's Caribbean Fish Sauce,Saturated Fat,1g,True,6.57
3,85314,Caribbean,Ed's Caribbean Fish Sauce,Carbohydrates,44g,False,14.69
4,85314,Caribbean,Ed's Caribbean Fish Sauce,Sugar,15g,True,17.77
5,85314,Caribbean,Ed's Caribbean Fish Sauce,Cholesterol,72mg,False,24.19
6,85314,Caribbean,Ed's Caribbean Fish Sauce,Sodium,182mg,False,7.92
0,166301,Caribbean,Caribbean Shrimp Spread,Calories,429k,False,21.48
1,166301,Caribbean,Caribbean Shrimp Spread,Fat,19g,False,30.64
2,166301,Caribbean,Caribbean Shrimp Spread,Saturated Fat,3g,True,21.05
3,166301,Caribbean,Caribbean Shrimp Spread,Carbohydrates,22g,False,7.64
4,166301,Caribbean,Caribbean Shrimp Spread,Sugar,3g,True,3.63
5,166301,Caribbean,Caribbean Shrimp Spread,Cholesterol,94mg,False,31.46
6,166301,Caribbean,Caribbean Shrimp Spread,Sodium,693mg,False,30.14
0,490094,Caribbean,Caribbean Rice,Calories,353k,False,17.67
1,490094,Caribbean,Caribbean Rice,Fat,5g,False,9.01
2,490094,Caribbean,Caribbean Rice,Saturated Fat,0.77g,True,4.84
3,490094,Caribbean,Caribbean Rice,Carbohydrates,67g,False,22.41
4,490094,Caribbean,Caribbean Rice,Sugar,18g,True,21.0
5,490094,Caribbean,Caribbean Rice,Cholesterol,0.0mg,False,0.0
6,490094,Caribbean,Caribbean Rice,Sodium,299mg,False,13.02
0,204709,Caribbean,Caribbean Bakewell Tart,Calories,396k,False,19.82
1,204709,Caribbean,Caribbean Bakewell Tart,Fat,4g,False,7.63
2,204709,Caribbean,Caribbean Bakewell Tart,Saturated Fat,1g,True,6.77
3,204709,Caribbean,Caribbean Bakewell Tart,Carbohydrates,46g,False,15.6
4,204709,Caribbean,Caribbean Bakewell Tart,Sugar,18g,True,21.01
5,204709,Caribbean,Caribbean Bakewell Tart,Cholesterol,108mg,False,36.29
6,204709,Caribbean,Caribbean Bakewell Tart,Sodium,396mg,False,17.25
0,498884,Caribbean,Caribbean Bananas,Calories,518k,False,25.91
1,498884,Caribbean,Caribbean Bananas,Fat,20g,False,30.8
2,498884,Caribbean,Caribbean Bananas,Saturated Fat,5g,True,34.02
3,498884,Caribbean,Caribbean Bananas,Carbohydrates,38g,False,12.84
4,498884,Caribbean,Caribbean Bananas,Sugar,27g,True,30.02
5,498884,Caribbean,Caribbean Bananas,Cholesterol,153mg,False,51.31
6,498884,Caribbean,Caribbean Bananas,Sodium,360mg,False,15.67
0,289545,Caribbean,Jerk Wontons with Caribbean Salsa,Calories,697k,False,34.89
1,289545,Caribbean,Jerk Wontons with Caribbean Salsa,Fat,9g,False,15.34
2,289545,Caribbean,Jerk Wontons with Caribbean Salsa,Saturated Fat,1g,True,9.96
3,289545,Caribbean,Jerk Wontons with Caribbean Salsa,Carbohydrates,79g,False,26.45
4,289545,Caribbean,Jerk Wontons with Caribbean Salsa,Sugar,1g,True,2.21
5,289545,Caribbean,Jerk Wontons with Caribbean Salsa,Cholesterol,143mg,False,47.88
6,289545,Caribbean,Jerk Wontons with Caribbean Salsa,Sodium,6659mg,False,289.52
0,532808,Caribbean,Peppermint Pretzel Bark,Calories,276k,False,13.81
1,532808,Caribbean,Peppermint Pretzel Bark,Fat,5g,False,9.16
2,532808,Caribbean,Peppermint Pretzel Bark,Saturated Fat,1g,True,9.6
3,532808,Caribbean,Peppermint Pretzel Bark,Carbohydrates,26g,False,8.99
4,532808,Caribbean,Peppermint Pretzel Bark,Sugar,14g,True,15.68
5,532808,Caribbean,Peppermint Pretzel Bark,Cholesterol,94mg,False,31.34
6,532808,Caribbean,Peppermint Pretzel Bark,Sodium,304mg,False,13.26
0,55021,Caribbean,Peppermint Mocha Patty,Calories,740k,False,37.01
1,55021,Caribbean,Peppermint Mocha Patty,Fat,43g,False,67.36
2,55021,Caribbean,Peppermint Mocha Patty,Saturated Fat,11g,True,71.86
3,55021,Caribbean,Peppermint Mocha Patty,Carbohydrates,63g,False,21.08
4,55021,Caribbean,Peppermint Mocha Patty,Sugar,14g,True,15.66
5,55021,Caribbean,Peppermint Mocha Patty,Cholesterol,110mg,False,36.91
6,55021,Caribbean,Peppermint Mocha Patty,Sodium,1856mg,False,80.74
0,637116,Caribbean,Caribbean Truffle Pie,Calories,200k,False,10.05
1,637116,Caribbean,Caribbean Truffle Pie,Fat,11g,False,17.01
2,637116,Caribbean,Caribbean Truffle Pie,Saturated Fat,4g,True,30.12
3,637116,Caribbean,Caribbean Truffle Pie,Carbohydrates,9g,False,3.23
4,637116,Caribbean,Caribbean Truffle Pie,Sugar,5g,True,5.6
5,637116,Caribbean,Caribbean Truffle Pie,Cholesterol,46mg,False,15.37
6,637116,Caribbean,Caribbean Truffle Pie,Sodium,437mg,False,19.02
0,408464,Caribbean,Peppermint Cake Rolls,Calories,329k,False,16.45
1,408464,Caribbean,Peppermint Cake Rolls,Fat,14g,False,21.97
2,408464,Caribbean,Peppermint Cake Rolls,Saturated Fat,5g,True,36.44
3,408464,Caribbean,Peppermint Cake Rolls,Carbohydrates,32g,False,10.87
4,408464,Caribbean,Peppermint Cake Rolls,Sugar,5g,True,6.62
5,408464,Caribbean,Peppermint Cake Rolls,Cholesterol,46mg,False,15.37
6,408464,Caribbean,Peppermint Cake Rolls,Sodium,67mg,False,2.94
0,700289,Caribbean,Peppermint Cookie Mudslide,Calories,478k,False,23.92
1,700289,Caribbean,Peppermint Cookie Mudslide,Fat,13g,False,20.42
2,700289,Caribbean,Peppermint Cookie Mudslide,Saturated Fat,2g,True,16.46
3,700289,Caribbean,Peppermint Cookie Mudslide,Carbohydrates,48g,False,16.05
4,700289,Caribbean,Peppermint Cookie Mudslide,Sugar,9g,True,10.83
5,700289,Caribbean,Peppermint Cookie Mudslide,Cholesterol,95mg,False,31.87
6,700289,Caribbean,Peppermint Cookie Mudslide,Sodium,1496mg,False,65.05
0,143613,Caribbean,Caribbean Jerk Chicken,Calories,236k,False,11.83
1,143613,Caribbean,Caribbean Jerk Chicken,Fat,8g,False,13.56
2,143613,Caribbean,Caribbean Jerk Chicken,Saturated Fat,2g,True,13.84
3,143613,Caribbean,Caribbean Jerk Chicken,Carbohydrates,8g,False,2.94
4,143613,Caribbean,Caribbean Jerk Chicken,Sugar,7g,True,8.11
5,143613,Caribbean,Caribbean Jerk Chicken,Cholesterol,92mg,False,30.71
6,143613,Caribbean,Caribbean Jerk Chicken,Sodium,271mg,False,11.8
0,1151257,Caribbean,Peppermint Oreo Bark,Calories,804k,False,40.24
1,1151257,Caribbean,Peppermint Oreo Bark,Fat,58g,False,89.57
2,1151257,Caribbean,Peppermint Oreo Bark,Saturated Fat,17g,True,107.75
3,1151257,Caribbean,Peppermint Oreo Bark,Carbohydrates,69g,False,23.33
4,1151257,Caribbean,Peppermint Oreo Bark,Sugar,36g,True,40.5
5,1151257,Caribbean,Peppermint Oreo Bark,Cholesterol,0.0mg,False,0.0
6,1151257,Caribbean,Peppermint Oreo Bark,Sodium,28mg,False,1.22
0,512925,Caribbean,ChristmasWeek White Chocolate Candy Cane Fudge,Calories,351k,False,17.58
1,512925,Caribbean,ChristmasWeek White Chocolate Candy Cane Fudge,Fat,6g,False,10.29
2,512925,Caribbean,ChristmasWeek White Chocolate Candy Cane Fudge,Saturated Fat,1g,True,7.45
3,512925,Caribbean,ChristmasWeek White Chocolate Candy Cane Fudge,Carbohydrates,44g,False,14.71
4,512925,Caribbean,ChristmasWeek White Chocolate Candy Cane Fudge,Sugar,16g,True,17.78
5,512925,Caribbean,ChristmasWeek White Chocolate Candy Cane Fudge,Cholesterol,72mg,False,24.19
6,512925,Caribbean,ChristmasWeek White Chocolate Candy Cane Fudge,Sodium,196mg,False,8.54
0,173145,Caribbean,Caribbean Layered Dip,Calories,713k,False,35.67
1,173145,Caribbean,Caribbean Layered Dip,Fat,39g,False,60.44
2,173145,Caribbean,Caribbean Layered Dip,Saturated Fat,9g,True,60.17
3,173145,Caribbean,Caribbean Layered Dip,Carbohydrates,20g,False,6.98
4,173145,Caribbean,Caribbean Layered Dip,Sugar,11g,True,12.89
5,173145,Caribbean,Caribbean Layered Dip,Cholesterol,181mg,False,60.48
6,173145,Caribbean,Caribbean Layered Dip,Sodium,976mg,False,42.43
0,736613,Caribbean,Caribbean Shrimp Skewers,Calories,192k,False,9.61
1,736613,Caribbean,Caribbean Shrimp Skewers,Fat,5g,False,7.86
2,736613,Caribbean,Caribbean Shrimp Skewers,Saturated Fat,2g,True,14.92
3,736613,Caribbean,Caribbean Shrimp Skewers,Carbohydrates,28g,False,9.58
4,736613,Caribbean,Caribbean Shrimp Skewers,Sugar,7g,True,8.82
5,736613,Caribbean,Caribbean Shrimp Skewers,Cholesterol,0.0mg,False,0.0
6,736613,Caribbean,Caribbean Shrimp Skewers,Sodium,462mg,False,20.09
0,229276,Caribbean,Caribbean Thunder,Calories,438k,False,21.91
1,229276,Caribbean,Caribbean Thunder,Fat,17g,False,27.58
2,229276,Caribbean,Caribbean Thunder,Saturated Fat,5g,True,31.97
3,229276,Caribbean,Caribbean Thunder,Carbohydrates,25g,False,8.42
4,229276,Caribbean,Caribbean Thunder,Sugar,14g,True,16.57
5,229276,Caribbean,Caribbean Thunder,Cholesterol,113mg,False,37.8
6,229276,Caribbean,Caribbean Thunder,Sodium,911mg,False,39.64
0,266053,Caribbean,Jamaican Jerk Chicken Breasts,Calories,109k,False,5.46
1,266053,Caribbean,Jamaican Jerk Chicken Breasts,Fat,0.56g,False,0.87
2,266053,Caribbean,Jamaican Jerk Chicken Breasts,Saturated Fat,0.06g,True,0.37
3,266053,Caribbean,Jamaican Jerk Chicken Breasts,Carbohydrates,27g,False,9.02
4,266053,Caribbean,Jamaican Jerk Chicken Breasts,Sugar,15g,True,17.23
5,266053,Caribbean,Jamaican Jerk Chicken Breasts,Cholesterol,0.0mg,False,0.0
6,266053,Caribbean,Jamaican Jerk Chicken Breasts,Sodium,7mg,False,0.31
0,833995,Caribbean,Williams-Sonoma Peppermint Bark Pretzels,Calories,157k,False,7.85
1,833995,Caribbean,Williams-Sonoma Peppermint Bark Pretzels,Fat,0.74g,False,1.14
2,833995,Caribbean,Williams-Sonoma Peppermint Bark Pretzels,Saturated Fat,0.19g,True,1.17
3,833995,Caribbean,Williams-Sonoma Peppermint Bark Pretzels,Carbohydrates,30g,False,10.17
4,833995,Caribbean,Williams-Sonoma Peppermint Bark Pretzels,Sugar,6g,True,6.93
5,833995,Caribbean,Williams-Sonoma Peppermint Bark Pretzels,Cholesterol,0.0mg,False,0.0
6,833995,Caribbean,Williams-Sonoma Peppermint Bark Pretzels,Sodium,518mg,False,22.55
0,273996,Caribbean,Caribbean Coconut Shrimp,Calories,584k,False,29.23
1,273996,Caribbean,Caribbean Coconut Shrimp,Fat,11g,False,18.33
2,273996,Caribbean,Caribbean Coconut Shrimp,Saturated Fat,2g,True,16.32
3,273996,Caribbean,Caribbean Coconut Shrimp,Carbohydrates,10g,False,3.49
4,273996,Caribbean,Caribbean Coconut Shrimp,Sugar,8g,True,8.93
5,273996,Caribbean,Caribbean Coconut Shrimp,Cholesterol,290mg,False,96.77
6,273996,Caribbean,Caribbean Coconut Shrimp,Sodium,590mg,False,25.69
7,273996,Caribbean,Caribbean Coconut Shrimp,Alcohol,3g,False,18.56
0,534543,Caribbean,Pear and Berries Sangria,Calories,683k,False,34.19
1,534543,Caribbean,Pear and Berries Sangria,Fat,31g,False,47.71
2,534543,Caribbean,Pear and Berries Sangria,Saturated Fat,22g,True,137.56
3,534543,Caribbean,Pear and Berries Sangria,Carbohydrates,58g,False,19.41
4,534543,Caribbean,Pear and Berries Sangria,Sugar,5g,True,6.24
5,534543,Caribbean,Pear and Berries Sangria,Cholesterol,161mg,False,53.86
6,534543,Caribbean,Pear and Berries Sangria,Sodium,725mg,False,31.55
0,571933,Caribbean,Eggnog Candy Sticks,Calories,1395k,False,69.78
1,571933,Caribbean,Eggnog Candy Sticks,Fat,83g,False,128.04
2,571933,Caribbean,Eggnog Candy Sticks,Saturated Fat,21g,True,131.32
3,571933,Caribbean,Eggnog Candy Sticks,Carbohydrates,103g,False,34.54
4,571933,Caribbean,Eggnog Candy Sticks,Sugar,20g,True,22.86
5,571933,Caribbean,Eggnog Candy Sticks,Cholesterol,285mg,False,95.25
6,571933,Caribbean,Eggnog Candy Sticks,Sodium,5855mg,False,254.59
0,121945,Caribbean,Caribbean Sweet Potato Rum Cake With Butter Rum Frosting,Calories,240k,False,12.01
1,121945,Caribbean,Caribbean Sweet Potato Rum Cake With Butter Rum Frosting,Fat,6g,False,10.31
2,121945,Caribbean,Caribbean Sweet Potato Rum Cake With Butter Rum Frosting,Saturated Fat,1g,True,8.47
3,121945,Caribbean,Caribbean Sweet Potato Rum Cake With Butter Rum Frosting,Carbohydrates,22g,False,7.55
4,121945,Caribbean,Caribbean Sweet Potato Rum Cake With Butter Rum Frosting,Sugar,16g,True,18.05
5,121945,Caribbean,Caribbean Sweet Potato Rum Cake With Butter Rum Frosting,Cholesterol,107mg,False,35.91
6,121945,Caribbean,Caribbean Sweet Potato Rum Cake With Butter Rum Frosting,Sodium,428mg,False,18.64
0,274404,Caribbean,Teddy Bear Sleepover Cake,Calories,176k,False,8.83
1,274404,Caribbean,Teddy Bear Sleepover Cake,Fat,5g,False,9.0
2,274404,Caribbean,Teddy Bear Sleepover Cake,Saturated Fat,1g,True,9.9
3,274404,Caribbean,Teddy Bear Sleepover Cake,Carbohydrates,8g,False,2.95
4,274404,Caribbean,Teddy Bear Sleepover Cake,Sugar,6g,True,6.92
5,274404,Caribbean,Teddy Bear Sleepover Cake,Cholesterol,63mg,False,21.25
6,274404,Caribbean,Teddy Bear Sleepover Cake,Sodium,260mg,False,11.31
0,565482,Caribbean,Peppermint Poke Cake,Calories,540k,False,27.0
1,565482,Caribbean,Peppermint Poke Cake,Fat,17g,False,27.33
2,565482,Caribbean,Peppermint Poke Cake,Saturated Fat,5g,True,36.97
3,565482,Caribbean,Peppermint Poke Cake,Carbohydrates,61g,False,20.35
4,565482,Caribbean,Peppermint Poke Cake,Sugar,31g,True,35.15
5,565482,Caribbean,Peppermint Poke Cake,Cholesterol,75mg,False,25.14
6,565482,Caribbean,Peppermint Poke Cake,Sodium,1520mg,False,66.11
0,406252,Caribbean,Frosty Pistachio Delight,Calories,295k,False,14.77
1,406252,Caribbean,Frosty Pistachio Delight,Fat,1g,False,1.79
2,406252,Caribbean,Frosty Pistachio Delight,Saturated Fat,0.23g,True,1.46
3,406252,Caribbean,Frosty Pistachio Delight,Carbohydrates,62g,False,20.67
4,406252,Caribbean,Frosty Pistachio Delight,Sugar,18g,True,20.85
5,406252,Caribbean,Frosty Pistachio Delight,Cholesterol,0.0mg,False,0.0
6,406252,Caribbean,Frosty Pistachio Delight,Sodium,201mg,False,8.78
0,620722,Caribbean,Peppermint Candy Cane Crunch Donuts,Calories,602k,False,30.12
1,620722,Caribbean,Peppermint Candy Cane Crunch Donuts,Fat,14g,False,21.99
2,620722,Caribbean,Peppermint Candy Cane Crunch Donuts,Saturated Fat,4g,True,29.55
3,620722,Caribbean,Peppermint Candy Cane Crunch Donuts,Carbohydrates,85g,False,28.52
4,620722,Caribbean,Peppermint Candy Cane Crunch Donuts,Sugar,45g,True,51.08
5,620722,Caribbean,Peppermint Candy Cane Crunch Donuts,Cholesterol,92mg,False,30.79
6,620722,Caribbean,Peppermint Candy Cane Crunch Donuts,Sodium,561mg,False,24.4
0,573539,Caribbean,Candy Cane Chocolate Swirl Fudge,Calories,210k,False,10.55
1,573539,Caribbean,Candy Cane Chocolate Swirl Fudge,Fat,2g,False,3.55
2,573539,Caribbean,Candy Cane Chocolate Swirl Fudge,Saturated Fat,1g,True,7.12
3,573539,Caribbean,Candy Cane Chocolate Swirl Fudge,Carbohydrates,38g,False,12.86
4,573539,Caribbean,Candy Cane Chocolate Swirl Fudge,Sugar,7g,True,8.71
5,573539,Caribbean,Candy Cane Chocolate Swirl Fudge,Cholesterol,6mg,False,2.1
6,573539,Caribbean,Candy Cane Chocolate Swirl Fudge,Sodium,161mg,False,7.02
0,622578,Caribbean,Peppermint Mocha Coffee,Calories,704k,False,35.22
1,622578,Caribbean,Peppermint Mocha Coffee,Fat,42g,False,65.43
2,622578,Caribbean,Peppermint Mocha Coffee,Saturated Fat,9g,True,62.01
3,622578,Caribbean,Peppermint Mocha Coffee,Carbohydrates,43g,False,14.43
4,622578,Caribbean,Peppermint Mocha Coffee,Sugar,8g,True,9.76
5,622578,Caribbean,Peppermint Mocha Coffee,Cholesterol,74mg,False,24.84
6,622578,Caribbean,Peppermint Mocha Coffee,Sodium,855mg,False,37.17
0,176314,Caribbean,Jerk Chicken Wings with Creamy Dipping Sauce,Calories,452k,False,22.63
1,176314,Caribbean,Jerk Chicken Wings with Creamy Dipping Sauce,Fat,1g,False,2.39
2,176314,Caribbean,Jerk Chicken Wings with Creamy Dipping Sauce,Saturated Fat,0.4g,True,2.52
3,176314,Caribbean,Jerk Chicken Wings with Creamy Dipping Sauce,Carbohydrates,92g,False,30.92
4,176314,Caribbean,Jerk Chicken Wings with Creamy Dipping Sauce,Sugar,8g,True,9.81
5,176314,Caribbean,Jerk Chicken Wings with Creamy Dipping Sauce,Cholesterol,0.0mg,False,0.0
6,176314,Caribbean,Jerk Chicken Wings with Creamy Dipping Sauce,Sodium,21mg,False,0.92
0,397648,Caribbean,Peppermint Ribbon Cake,Calories,489k,False,24.48
1,397648,Caribbean,Peppermint Ribbon Cake,Fat,2g,False,3.22
2,397648,Caribbean,Peppermint Ribbon Cake,Saturated Fat,0.43g,True,2.67
3,397648,Caribbean,Peppermint Ribbon Cake,Carbohydrates,100g,False,33.34
4,397648,Caribbean,Peppermint Ribbon Cake,Sugar,0.36g,True,0.4
5,397648,Caribbean,Peppermint Ribbon Cake,Cholesterol,0.0mg,False,0.0
6,397648,Caribbean,Peppermint Ribbon Cake,Sodium,866mg,False,37.67
0,307639,Caribbean,Caribbean Bushwacker,Calories,349k,False,17.46
1,307639,Caribbean,Caribbean Bushwacker,Fat,11g,False,17.29
2,307639,Caribbean,Caribbean Bushwacker,Saturated Fat,3g,True,22.42
3,307639,Caribbean,Caribbean Bushwacker,Carbohydrates,24g,False,8.03
4,307639,Caribbean,Caribbean Bushwacker,Sugar,1g,True,1.16
5,307639,Caribbean,Caribbean Bushwacker,Cholesterol,90mg,False,30.12
6,307639,Caribbean,Caribbean Bushwacker,Sodium,841mg,False,36.59
0,124993,Caribbean,Caribbean Bananas Flambé with Pineapple Curd over Frozen Yogurt,Calories,417k,False,20.89
1,124993,Caribbean,Caribbean Bananas Flambé with Pineapple Curd over Frozen Yogurt,Fat,12g,False,19.8
2,124993,Caribbean,Caribbean Bananas Flambé with Pineapple Curd over Frozen Yogurt,Saturated Fat,3g,True,18.73
3,124993,Caribbean,Caribbean Bananas Flambé with Pineapple Curd over Frozen Yogurt,Carbohydrates,59g,False,19.96
4,124993,Caribbean,Caribbean Bananas Flambé with Pineapple Curd over Frozen Yogurt,Sugar,5g,True,6.12
5,124993,Caribbean,Caribbean Bananas Flambé with Pineapple Curd over Frozen Yogurt,Cholesterol,22mg,False,7.51
6,124993,Caribbean,Caribbean Bananas Flambé with Pineapple Curd over Frozen Yogurt,Sodium,810mg,False,35.26
0,471454,Caribbean,Caribbean Bread Pudding,Calories,312k,False,15.63
1,471454,Caribbean,Caribbean Bread Pudding,Fat,17g,False,26.31
2,471454,Caribbean,Caribbean Bread Pudding,Saturated Fat,2g,True,18.44
3,471454,Caribbean,Caribbean Bread Pudding,Carbohydrates,5g,False,1.94
4,471454,Caribbean,Caribbean Bread Pudding,Sugar,2g,True,3.14
5,471454,Caribbean,Caribbean Bread Pudding,Cholesterol,85mg,False,28.35
6,471454,Caribbean,Caribbean Bread Pudding,Sodium,113mg,False,4.96
0,273756,Caribbean,Baseball Diamond Cake,Calories,702k,False,35.14
1,273756,Caribbean,Baseball Diamond Cake,Fat,32g,False,50.34
2,273756,Caribbean,Baseball Diamond Cake,Saturated Fat,5g,True,34.18
3,273756,Caribbean,Baseball Diamond Cake,Carbohydrates,56g,False,18.7
4,273756,Caribbean,Baseball Diamond Cake,Sugar,18g,True,20.03
5,273756,Caribbean,Baseball Diamond Cake,Cholesterol,214mg,False,71.57
6,273756,Caribbean,Baseball Diamond Cake,Sodium,372mg,False,16.2
0,274518,Caribbean,Bunny Patch Dessert,Calories,332k,False,16.64
1,274518,Caribbean,Bunny Patch Dessert,Fat,20g,False,31.93
2,274518,Caribbean,Bunny Patch Dessert,Saturated Fat,1g,True,12.39
3,274518,Caribbean,Bunny Patch Dessert,Carbohydrates,12g,False,4.17
4,274518,Caribbean,Bunny Patch Dessert,Sugar,6g,True,6.79
5,274518,Caribbean,Bunny Patch Dessert,Cholesterol,72mg,False,24.11
6,274518,Caribbean,Bunny Patch Dessert,Sodium,720mg,False,31.31
0,271561,Caribbean,Caribbean Cooler,Calories,298k,False,14.94
1,271561,Caribbean,Caribbean Cooler,Fat,23g,False,35.49
2,271561,Caribbean,Caribbean Cooler,Saturated Fat,13g,True,86.84
3,271561,Caribbean,Caribbean Cooler,Carbohydrates,19g,False,6.43
4,271561,Caribbean,Caribbean Cooler,Sugar,8g,True,9.84
5,271561,Caribbean,Caribbean Cooler,Cholesterol,14mg,False,4.84
6,271561,Caribbean,Caribbean Cooler,Sodium,759mg,False,33.01
0,579888,Caribbean,"Caribbean Painkiller: A Breezy, Boozy Delight",Calories,718k,False,35.93
1,579888,Caribbean,"Caribbean Painkiller: A Breezy, Boozy Delight",Fat,46g,False,71.93
2,579888,Caribbean,"Caribbean Painkiller: A Breezy, Boozy Delight",Saturated Fat,13g,True,83.46
3,579888,Caribbean,"Caribbean Painkiller: A Breezy, Boozy Delight",Carbohydrates,13g,False,4.54
