,Name,Type,Cuisine,PODN
619,Vitamin D,good,Jewish,14.175407407407409
620,Calcium,good,Cajun,14.086279999999993
621,Potassium,good,Nordic,14.044478873239447
622,Carbohydrates,bad,Cajun,14.033579999999999
623,Vitamin B5,good,Caribbean,14.01510917030567
624,Vitamin B12,good,Middle Eastern,13.913097345132742
625,Vitamin B5,good,Latin American,13.88477707006369
626,Vitamin E,good,Jewish,13.87995959595959
627,Sugar,bad,Jewish,13.860160000000002
628,Cholesterol,bad,European,13.820039999999992
629,Sugar,bad,Thai,13.775800000000006
630,Magnesium,good,British,13.757895791583136
631,Vitamin B5,good,Korean,13.576094069529647
632,Carbohydrates,bad,Thai,13.369460000000007
633,Carbohydrates,bad,German,13.329780000000007
634,Carbohydrates,bad,French,13.291139999999999
635,Calcium,good,Eastern European,13.257219999999993
636,Sugar,bad,Vietnamese,13.123779999999984
637,Calcium,good,Middle Eastern,13.118059999999995
638,Alcohol,bad,African,13.054666666666666
639,Calcium,good,Thai,13.011900000000002
640,Carbohydrates,bad,Middle Eastern,12.87856
641,Carbohydrates,bad,Eastern European,12.869140000000014
642,Calcium,good,Chinese,12.820580000000007
643,Vitamin E,good,Caribbean,12.7993777777778
644,Copper,good,Caribbean,12.71325865580449
645,Vitamin B5,good,German,12.709794661190958
646,Vitamin B2,good,Middle Eastern,12.671199999999997
647,Carbohydrates,bad,African,12.488058823529421
648,Sugar,bad,Korean,12.469759999999999
649,Vitamin B5,good,Jewish,12.445771543086174
650,Vitamin E,good,Eastern European,12.439516129032265
651,Sugar,bad,American,12.388519999999998
652,Sugar,bad,Nordic,12.373173333333327
653,Sugar,bad,Southern,12.25834
654,Vitamin B5,good,Vietnamese,12.25686868686869
655,Folate,good,Nordic,12.228861111111094
656,Carbohydrates,bad,Korean,12.185399999999998
657,Zinc,good,British,12.144457831325298
658,Sugar,bad,Indian,12.040259999999984
659,Iron,good,Nordic,11.956064690026956
660,Sugar,bad,French,11.747640000000013
661,Carbohydrates,bad,Jewish,11.680919999999995
662,Vitamin D,good,American,11.590918367346944
663,Calcium,good,German,11.505959595959599
664,Calcium,good,African,11.485917159763314
665,Alcohol,bad,American,11.395454545454545
666,Sugar,bad,Chinese,11.373880000000003
667,Sugar,bad,European,11.334959999999993
668,Sugar,bad,Mediterranean,11.248480000000013
669,Sugar,bad,Italian,11.131779999999997
670,Carbohydrates,bad,Caribbean,10.988180000000002
671,Caffeine,bad,Thai,10.604
672,Calcium,good,Latin American,10.599436619718327
673,Vitamin E,good,German,10.53349892008639
674,Calcium,good,Vietnamese,10.493140000000011
675,Sugar,bad,Irish,10.478660000000012
676,Alcohol,bad,Indian,10.476666666666667
677,Vitamin E,good,Vietnamese,10.266881496881492
678,Calcium,good,Jewish,10.232625250501
679,Alcohol,bad,Middle Eastern,10.206666666666665
680,Alcohol,bad,Cajun,10.066756756756757
681,Vitamin E,good,Irish,9.904618556701037
682,Magnesium,good,Nordic,9.878526912181313
683,Vitamin E,good,British,9.874448979591836
684,Fiber,good,Nordic,9.848076923076926
685,Vitamin B5,good,Nordic,9.824524495677235
686,Vitamin B5,good,Middle Eastern,9.734129554655873
687,Copper,good,Nordic,9.60202857142858
688,Sugar,bad,Eastern European,9.58141999999999
689,Alcohol,bad,British,9.543296703296699
690,Carbohydrates,bad,Nordic,9.525306666666664
691,Caffeine,bad,Spanish,9.483333333333333
692,Sugar,bad,Cajun,9.260579999999988
693,Vitamin B5,good,British,9.152545454545452
694,Sugar,bad,Spanish,9.145900000000012
695,Calcium,good,Caribbean,8.926144329896907
696,Caffeine,bad,Cajun,8.743333333333332
697,Caffeine,bad,British,8.522857142857143
698,Vitamin D,good,Mediterranean,8.426438356164384
699,Calcium,good,Nordic,8.314971264367816
700,Vitamin D,good,Vietnamese,8.120888888888885
701,Vitamin D,good,European,7.971582733812948
702,Alcohol,bad,Korean,7.875060240963858
703,Caffeine,bad,Indian,7.87
704,Vitamin E,good,Nordic,7.861210191082805
705,Vitamin D,good,British,7.821304347826085
706,Carbohydrates,bad,Latin American,7.812280000000001
707,Vitamin D,good,Thai,7.611190476190476
708,Caffeine,bad,Caribbean,7.296486486486486
709,Vitamin D,good,Italian,7.21628571428571
710,Vitamin D,good,Korean,7.129898989898994
711,Sugar,bad,Middle Eastern,6.9871
712,Vitamin D,good,German,6.931054131054128
713,Vitamin D,good,African,6.914745762711862
714,Sugar,bad,Latin American,6.370079999999998
715,Vitamin D,good,Nordic,6.309709543568461
716,Caffeine,bad,German,6.212372881355931
717,Alcohol,bad,Chinese,5.860131578947371
718,Vitamin D,good,Caribbean,5.7630051813471495
719,Vitamin D,good,Chinese,5.676111111111111
720,Vitamin D,good,Middle Eastern,5.516285714285714
721,Caffeine,bad,Southern,5.3545454545454545
722,Alcohol,bad,Thai,5.1075
723,Caffeine,bad,Jewish,4.734666666666667
724,Vitamin D,good,Eastern European,4.707601351351351
725,Caffeine,bad,Nordic,4.499
726,Vitamin D,good,Irish,4.231535947712419
727,Cholesterol,bad,Middle Eastern,3.867600000000001
728,Caffeine,bad,American,3.466666666666667
729,Caffeine,bad,Latin American,3.14
730,Caffeine,bad,Korean,2.85
731,Caffeine,bad,African,2.6914285714285713
