,Name,Type,Cuisine,PODN
123,Vitamin B6,good,Chinese,43.98493999999999
124,Vitamin B3,good,Irish,43.937360000000005
125,Vitamin A,good,Caribbean,43.87481308411211
126,Selenium,good,Spanish,43.70799591002045
127,Vitamin B3,good,Chinese,43.57531999999999
128,Sodium,bad,Thai,43.52134
129,Vitamin B6,good,Mediterranean,43.443500000000014
130,Sodium,bad,Jewish,43.43087999999997
131,Vitamin B6,good,Spanish,43.41607999999998
132,Protein,good,Caribbean,43.35451999999998
133,Manganese,good,British,43.33729458917838
134,Vitamin B6,good,Eastern European,43.25379999999997
135,Cholesterol,bad,Jewish,43.24328000000004
136,Sodium,bad,Eastern European,43.12019999999995
137,Vitamin B6,good,Thai,42.726860000000016
138,Sodium,bad,Cajun,42.724979999999995
139,Vitamin B6,good,Indian,42.63434000000001
140,Vitamin K,good,German,42.58420479302833
141,Vitamin B6,good,Korean,42.55617999999998
142,Folate,good,American,42.462900000000005
143,Saturated Fat,bad,Southern,42.16726000000001
144,Phosphorus,good,American,42.100620000000006
145,Vitamin B3,good,Cajun,41.96524096385547
146,Vitamin B6,good,French,41.883887775551095
147,Protein,good,African,41.85323529411767
148,Selenium,good,American,41.84561368209257
149,Fiber,good,Indian,41.74839357429719
150,Selenium,good,Irish,41.6574348697395
151,Vitamin B3,good,Jewish,41.607799999999955
152,Vitamin B12,good,Latin American,41.50136363636369
153,Vitamin K,good,African,41.41888888888888
154,Selenium,good,Vietnamese,41.37298174442189
155,Manganese,good,Korean,41.13029999999995
156,Vitamin B6,good,Cajun,41.072919999999975
157,Vitamin B6,good,Italian,40.86871999999997
158,Folate,good,European,40.762039999999985
159,Selenium,good,Southern,40.465835010060395
160,Folate,good,Middle Eastern,40.34091999999999
161,Selenium,good,German,40.27928571428573
162,Protein,good,German,40.122719999999994
163,Sodium,bad,Chinese,39.96396000000003
164,Vitamin B12,good,Irish,39.89058441558444
165,Folate,good,Mediterranean,39.67264000000001
166,Vitamin B3,good,Korean,39.510020080321276
167,Vitamin B3,good,American,39.48858000000001
168,Vitamin B6,good,Latin American,39.480981963927846
169,Saturated Fat,bad,Jewish,39.45182
170,Selenium,good,Caribbean,39.36881974248929
171,Vitamin B3,good,Latin American,39.356816326530584
172,Phosphorus,good,Italian,39.28861999999999
173,Vitamin B3,good,Caribbean,39.16915948275862
174,Fat,bad,Latin American,39.11781999999997
175,Sodium,bad,Italian,39.05803999999998
176,Folate,good,Italian,39.04284000000001
177,Phosphorus,good,Irish,38.94341999999997
178,Folate,good,Southern,38.8363453815261
179,Selenium,good,British,38.82157258064515
180,Fiber,good,Middle Eastern,38.8083
181,Cholesterol,bad,Cajun,38.41939999999998
182,Phosphorus,good,Eastern European,38.41254000000001
183,Copper,good,Italian,38.388759999999984
184,Phosphorus,good,Southern,38.274108216432886
185,Potassium,good,Irish,38.206600000000044
186,Phosphorus,good,French,38.135639999999995
187,Vitamin B3,good,French,38.12562000000002
188,Phosphorus,good,Mediterranean,37.938939999999945
189,Manganese,good,Vietnamese,37.866139999999945
190,Saturated Fat,bad,Latin American,37.85777999999998
191,Phosphorus,good,Cajun,37.770120000000006
192,Vitamin B3,good,African,37.768035714285716
193,Copper,good,European,37.65005999999996
194,Vitamin B6,good,Southern,37.5102
195,Vitamin C,good,German,37.50109263657953
196,Saturated Fat,bad,Cajun,37.48818000000001
197,Vitamin B3,good,Southern,37.43098000000001
