,Cuisine,Ingredient Count,Number of Recipes,Magnitude of Recipes,Decimal Magnitude of Recipes
175,European,10,57,0.114,1.14
176,European,11,54,0.108,1.08
177,European,12,45,0.09,0.9
178,European,13,43,0.086,0.86
179,European,14,22,0.044,0.44
180,European,15,24,0.048,0.48
181,European,16,26,0.052,0.52
182,European,17,21,0.042,0.42
183,European,18,17,0.034,0.34
184,European,19,6,0.012,0.12
185,European,20,7,0.014,0.14
186,European,21,3,0.006,0.06
187,European,22,4,0.008,0.08
188,European,23,3,0.006,0.06
189,European,24,4,0.008,0.08
190,European,25,2,0.004,0.04
191,European,26,1,0.002,0.02
192,European,28,1,0.002,0.02
193,European,29,1,0.002,0.02
194,European,30,1,0.002,0.02
195,European,32,1,0.002,0.02
196,French,3,2,0.004,0.04
197,French,4,3,0.006,0.06
198,French,5,9,0.018,0.18
199,French,6,18,0.036,0.36
200,French,7,24,0.048,0.48
201,French,8,37,0.074,0.74
202,French,9,38,0.076,0.76
203,French,10,59,0.118,1.18
204,French,11,64,0.128,1.28
205,French,12,57,0.114,1.14
206,French,13,57,0.114,1.14
207,French,14,30,0.06,0.6
208,French,15,27,0.054,0.54
209,French,16,18,0.036,0.36
210,French,17,11,0.022,0.22
211,French,18,12,0.024,0.24
212,French,19,3,0.006,0.06
213,French,20,8,0.016,0.16
214,French,21,2,0.004,0.04
215,French,22,5,0.01,0.1
216,French,23,5,0.01,0.1
217,French,24,1,0.002,0.02
218,French,25,2,0.004,0.04
219,French,26,1,0.002,0.02
220,French,27,1,0.002,0.02
221,French,28,1,0.002,0.02
222,French,30,1,0.002,0.02
223,German,3,1,0.002,0.02
224,German,4,4,0.008,0.08
225,German,5,38,0.076,0.76
226,German,6,32,0.064,0.64
227,German,7,41,0.082,0.82
228,German,8,36,0.072,0.72
229,German,9,41,0.082,0.82
230,German,10,78,0.156,1.56
231,German,11,40,0.08,0.8
232,German,12,51,0.102,1.02
233,German,13,30,0.06,0.6
234,German,14,25,0.05,0.5
235,German,15,23,0.046,0.46
236,German,16,11,0.022,0.22
237,German,17,12,0.024,0.24
238,German,18,4,0.008,0.08
239,German,19,4,0.008,0.08
240,German,20,6,0.012,0.12
241,German,22,1,0.002,0.02
242,German,23,1,0.002,0.02
243,German,26,1,0.002,0.02
244,Indian,3,1,0.002,0.02
245,Indian,4,2,0.004,0.04
246,Indian,5,12,0.024,0.24
247,Indian,6,12,0.024,0.24
248,Indian,7,15,0.03,0.3
249,Indian,8,22,0.044,0.44
250,Indian,9,34,0.068,0.68
251,Indian,10,38,0.076,0.76
252,Indian,11,34,0.068,0.68
253,Indian,12,56,0.112,1.12
254,Indian,13,52,0.104,1.04
255,Indian,14,53,0.106,1.06
256,Indian,15,37,0.074,0.74
257,Indian,16,27,0.054,0.54
258,Indian,17,24,0.048,0.48
259,Indian,18,20,0.04,0.4
260,Indian,19,16,0.032,0.32
261,Indian,20,11,0.022,0.22
262,Indian,21,7,0.014,0.14
263,Indian,22,6,0.012,0.12
264,Indian,23,9,0.018,0.18
265,Indian,24,3,0.006,0.06
266,Indian,25,2,0.004,0.04
267,Indian,26,2,0.004,0.04
268,Indian,28,1,0.002,0.02
269,Indian,30,1,0.002,0.02
270,Indian,37,1,0.002,0.02
271,Irish,3,1,0.002,0.02
272,Irish,4,2,0.004,0.04
273,Irish,5,19,0.038,0.38
274,Irish,6,39,0.078,0.78
275,Irish,7,39,0.078,0.78
276,Irish,8,38,0.076,0.76
277,Irish,9,39,0.078,0.78
278,Irish,10,44,0.088,0.88
279,Irish,11,37,0.074,0.74
280,Irish,12,36,0.072,0.72
281,Irish,13,26,0.052,0.52
282,Irish,14,34,0.068,0.68
283,Irish,15,36,0.072,0.72
284,Irish,16,28,0.056,0.56
285,Irish,17,26,0.052,0.52
286,Irish,18,23,0.046,0.46
287,Irish,19,9,0.018,0.18
288,Irish,20,8,0.016,0.16
289,Irish,21,2,0.004,0.04
290,Irish,22,2,0.004,0.04
291,Irish,23,4,0.008,0.08
292,Irish,24,3,0.006,0.06
293,Irish,25,1,0.002,0.02
294,Irish,28,1,0.002,0.02
295,Irish,30,1,0.002,0.02
296,Irish,35,1,0.002,0.02
297,Italian,3,1,0.002,0.02
298,Italian,4,7,0.014,0.14
299,Italian,5,18,0.036,0.36
300,Italian,6,24,0.048,0.48
301,Italian,7,26,0.052,0.52
302,Italian,8,38,0.076,0.76
303,Italian,9,45,0.09,0.9
304,Italian,10,60,0.12,1.2
305,Italian,11,62,0.124,1.24
306,Italian,12,45,0.09,0.9
307,Italian,13,31,0.062,0.62
308,Italian,14,27,0.054,0.54
309,Italian,15,25,0.05,0.5
310,Italian,16,27,0.054,0.54
311,Italian,17,20,0.04,0.4
312,Italian,18,14,0.028,0.28
313,Italian,19,5,0.01,0.1
314,Italian,20,6,0.012,0.12
315,Italian,21,3,0.006,0.06
316,Italian,22,5,0.01,0.1
317,Italian,23,4,0.008,0.08
318,Italian,24,2,0.004,0.04
319,Italian,25,1,0.002,0.02
320,Jewish,3,3,0.006,0.06
321,Jewish,4,10,0.02,0.2
322,Jewish,5,16,0.032,0.32
323,Jewish,6,36,0.072,0.72
324,Jewish,7,34,0.068,0.68
325,Jewish,8,44,0.088,0.88
326,Jewish,9,41,0.082,0.82
327,Jewish,10,56,0.112,1.12
328,Jewish,11,49,0.098,0.98
329,Jewish,12,35,0.07,0.7
330,Jewish,13,33,0.066,0.66
331,Jewish,14,38,0.076,0.76
332,Jewish,15,26,0.052,0.52
333,Jewish,16,14,0.028,0.28
334,Jewish,17,20,0.04,0.4
335,Jewish,18,12,0.024,0.24
336,Jewish,19,4,0.008,0.08
337,Jewish,20,6,0.012,0.12
338,Jewish,21,8,0.016,0.16
339,Jewish,22,4,0.008,0.08
340,Jewish,23,3,0.006,0.06
341,Jewish,24,1,0.002,0.02
342,Jewish,25,4,0.008,0.08
343,Jewish,28,1,0.002,0.02
344,Jewish,30,1,0.002,0.02
345,Jewish,34,1,0.002,0.02
346,Korean,3,3,0.006,0.06
347,Korean,4,1,0.002,0.02
348,Korean,5,10,0.02,0.2
349,Korean,6,19,0.038,0.38
350,Korean,7,27,0.054,0.54
351,Korean,8,44,0.088,0.88
352,Korean,9,48,0.096,0.96
353,Korean,10,59,0.118,1.18
354,Korean,11,49,0.098,0.98
355,Korean,12,50,0.1,1.0
356,Korean,13,47,0.094,0.94
357,Korean,14,36,0.072,0.72
358,Korean,15,25,0.05,0.5
359,Korean,16,24,0.048,0.48
360,Korean,17,14,0.028,0.28
361,Korean,18,14,0.028,0.28
362,Korean,19,4,0.008,0.08
363,Korean,20,4,0.008,0.08
364,Korean,21,6,0.012,0.12
365,Korean,22,2,0.004,0.04
366,Korean,23,3,0.006,0.06
367,Korean,26,2,0.004,0.04
368,Korean,27,3,0.006,0.06
369,Korean,28,1,0.002,0.02
370,Korean,30,1,0.002,0.02
371,Korean,38,1,0.002,0.02
372,Korean,40,1,0.002,0.02
373,Latin American,4,3,0.006,0.06
374,Latin American,5,7,0.014,0.14
375,Latin American,6,13,0.026,0.26
376,Latin American,7,24,0.048,0.48
377,Latin American,8,43,0.086,0.86
378,Latin American,9,62,0.124,1.24
379,Latin American,10,56,0.112,1.12
380,Latin American,11,53,0.106,1.06
381,Latin American,12,47,0.094,0.94
382,Latin American,13,45,0.09,0.9
383,Latin American,14,30,0.06,0.6
384,Latin American,15,30,0.06,0.6
385,Latin American,16,23,0.046,0.46
386,Latin American,17,13,0.026,0.26
387,Latin American,18,12,0.024,0.24
388,Latin American,19,9,0.018,0.18
389,Latin American,20,6,0.012,0.12
390,Latin American,21,3,0.006,0.06
391,Latin American,22,7,0.014,0.14
392,Latin American,23,1,0.002,0.02
393,Latin American,24,5,0.01,0.1
394,Latin American,25,2,0.004,0.04
395,Latin American,26,1,0.002,0.02
396,Latin American,27,1,0.002,0.02
397,Latin American,30,1,0.002,0.02
398,Mediterranean,3,1,0.002,0.02
399,Mediterranean,4,9,0.018,0.18
400,Mediterranean,5,14,0.028,0.28
401,Mediterranean,6,21,0.042,0.42
402,Mediterranean,7,22,0.044,0.44
403,Mediterranean,8,38,0.076,0.76
404,Mediterranean,9,44,0.088,0.88
405,Mediterranean,10,57,0.114,1.14
406,Mediterranean,11,59,0.118,1.18
407,Mediterranean,12,44,0.088,0.88
408,Mediterranean,13,45,0.09,0.9
409,Mediterranean,14,20,0.04,0.4
410,Mediterranean,15,24,0.048,0.48
411,Mediterranean,16,28,0.056,0.56
412,Mediterranean,17,23,0.046,0.46
413,Mediterranean,18,15,0.03,0.3
414,Mediterranean,19,5,0.01,0.1
415,Mediterranean,20,6,0.012,0.12
416,Mediterranean,21,5,0.01,0.1
417,Mediterranean,22,3,0.006,0.06
418,Mediterranean,23,3,0.006,0.06
419,Mediterranean,24,4,0.008,0.08
420,Mediterranean,25,2,0.004,0.04
421,Mediterranean,26,1,0.002,0.02
422,Mediterranean,28,1,0.002,0.02
423,Mediterranean,29,1,0.002,0.02
424,Mediterranean,30,1,0.002,0.02
425,Mediterranean,32,1,0.002,0.02
426,Middle Eastern,3,1,0.002,0.02
427,Middle Eastern,4,2,0.004,0.04
428,Middle Eastern,5,13,0.026,0.26
429,Middle Eastern,6,24,0.048,0.48
430,Middle Eastern,7,51,0.102,1.02
431,Middle Eastern,8,76,0.152,1.52
432,Middle Eastern,9,73,0.146,1.46
433,Middle Eastern,10,58,0.116,1.16
434,Middle Eastern,11,36,0.072,0.72
435,Middle Eastern,12,26,0.052,0.52
436,Middle Eastern,13,29,0.058,0.58
437,Middle Eastern,14,26,0.052,0.52
438,Middle Eastern,15,15,0.03,0.3
439,Middle Eastern,16,17,0.034,0.34
440,Middle Eastern,17,13,0.026,0.26
441,Middle Eastern,18,8,0.016,0.16
442,Middle Eastern,19,3,0.006,0.06
443,Middle Eastern,20,2,0.004,0.04
444,Middle Eastern,21,5,0.01,0.1
445,Middle Eastern,22,1,0.002,0.02
446,Middle Eastern,23,2,0.004,0.04
447,Middle Eastern,24,1,0.002,0.02
448,Middle Eastern,25,2,0.004,0.04
449,Middle Eastern,27,2,0.004,0.04
450,Middle Eastern,28,1,0.002,0.02
451,Middle Eastern,33,1,0.002,0.02
452,Nordic,3,1,0.002,0.02
453,Nordic,4,7,0.014,0.14
454,Nordic,5,7,0.014,0.14
455,Nordic,6,26,0.052,0.52
456,Nordic,7,33,0.066,0.66
457,Nordic,8,35,0.07,0.7
458,Nordic,9,31,0.062,0.62
459,Nordic,10,31,0.062,0.62
460,Nordic,11,34,0.068,0.68
461,Nordic,12,20,0.04,0.4
462,Nordic,13,21,0.042,0.42
463,Nordic,14,32,0.064,0.64
464,Nordic,15,22,0.044,0.44
465,Nordic,16,16,0.032,0.32
466,Nordic,17,13,0.026,0.26
